latitude_deg,altitude,mean_vtheta
7.5,10.5,-0.004368
12.5,10.5,0.008379
17.5,10.5,0.011058
22.5,10.5,0.015425
27.5,10.5,0.014175
32.5,10.5,0.007656
37.5,10.5,0.009872
42.5,10.5,0.025009
47.5,10.5,0.015329
52.5,10.5,0.006006
57.5,10.5,0.005085
62.5,10.5,-0.009923
67.5,10.5,-0.038552
72.5,10.5,0.024052
77.5,10.5,-0.007707
82.5,10.5,-0.063692
87.5,10.5,-0.018693
-87.5,11.5,0.062482
-82.5,11.5,0.034357
-77.5,11.5,-0.064382
-72.5,11.5,0.011367
-67.5,11.5,0.017756
-62.5,11.5,0.025272
-57.5,11.5,0.009026
-52.5,11.5,-0.0035
-47.5,11.5,-0.004288
-42.5,11.5,-0.02272
-37.5,11.5,-0.026361
-32.5,11.5,-0.021201
-27.5,11.5,-0.010746
-22.5,11.5,-0.006133
-17.5,11.5,-0.005494
-12.5,11.5,-0.006327
-7.5,11.5,-0.020617
-2.5,11.5,-0.001784
2.5,11.5,0.001845
7.5,11.5,0.011248
12.5,11.5,0.012459
17.5,11.5,0.01382
22.5,11.5,0.019619
27.5,11.5,0.015767
32.5,11.5,0.003589
37.5,11.5,0.006261
42.5,11.5,0.009698
47.5,11.5,0.01413
52.5,11.5,0.019529
57.5,11.5,-0.014002
62.5,11.5,-0.022638
67.5,11.5,-0.024364
72.5,11.5,-0.053523
77.5,11.5,-0.079784
82.5,11.5,-0.038253
87.5,11.5,-0.095147
-87.5,12.5,0.005326
-82.5,12.5,-0.073021
-77.5,12.5,0.004067
-72.5,12.5,-0.004949
-67.5,12.5,-0.024983
-62.5,12.5,0.011883
-57.5,12.5,0.015846
-52.5,12.5,-0.000786
-47.5,12.5,-0.027141
-42.5,12.5,-0.021781
-37.5,12.5,-0.020625
-32.5,12.5,-0.032204
-27.5,12.5,-0.012034
-22.5,12.5,-0.011235
-17.5,12.5,-0.001013
-12.5,12.5,-0.014789
-7.5,12.5,-0.013367
-2.5,12.5,-0.00118
2.5,12.5,-0.000522
7.5,12.5,0.012821
12.5,12.5,0.014469
17.5,12.5,0.020465
22.5,12.5,0.01659
27.5,12.5,0.019556
32.5,12.5,0.005197
37.5,12.5,-0.003437
42.5,12.5,0.007539
47.5,12.5,0.01819
52.5,12.5,0.046674
57.5,12.5,-0.002413
62.5,12.5,-0.017333
67.5,12.5,-0.01059
72.5,12.5,-0.009642
77.5,12.5,-0.055791
82.5,12.5,-0.004084
87.5,12.5,-0.107639
-87.5,13.5,0.082448
-82.5,13.5,-0.065597
-77.5,13.5,0.0311
-72.5,13.5,0.028963
-67.5,13.5,-0.021233
-62.5,13.5,-0.032915
-57.5,13.5,-0.031676
-52.5,13.5,-0.014408
-47.5,13.5,-0.011194
-42.5,13.5,-0.008918
-37.5,13.5,-0.017792
-32.5,13.5,-0.024812
-27.5,13.5,-0.01517
-22.5,13.5,-0.003355
-17.5,13.5,-0.008084
-12.5,13.5,-0.005706
-7.5,13.5,-0.008613
-2.5,13.5,-0.004793
2.5,13.5,0.007222
7.5,13.5,0.023669
12.5,13.5,0.019239
17.5,13.5,0.019909
22.5,13.5,0.027018
27.5,13.5,0.005665
32.5,13.5,0.02251
37.5,13.5,0.013075
42.5,13.5,0.026008
47.5,13.5,0.03586
52.5,13.5,0.035052
57.5,13.5,0.031008
62.5,13.5,0.003229
67.5,13.5,-0.024575
72.5,13.5,-0.018952
77.5,13.5,0.040576
82.5,13.5,0.019086
87.5,13.5,-0.054602
-87.5,14.5,0.043454
-82.5,14.5,-0.051253
-77.5,14.5,0.037341
-72.5,14.5,0.008195
-67.5,14.5,-0.034663
-62.5,14.5,-0.052594
-57.5,14.5,-0.02035
-52.5,14.5,-0.014803
-47.5,14.5,-0.008246
-42.5,14.5,-0.010345
-37.5,14.5,-0.022794
-32.5,14.5,-0.017253
-27.5,14.5,-0.014326
-22.5,14.5,-0.003051
-17.5,14.5,-0.008292
-12.5,14.5,-0.010359
-7.5,14.5,0.000594
-2.5,14.5,-0.004262
2.5,14.5,0.006895
7.5,14.5,0.011878
12.5,14.5,0.02374
17.5,14.5,0.02551
22.5,14.5,0.023295
27.5,14.5,0.01756
32.5,14.5,0.014903
37.5,14.5,0.02481
42.5,14.5,0.037169
47.5,14.5,0.032776
52.5,14.5,-0.00044
57.5,14.5,-0.007124
62.5,14.5,-0.004922
67.5,14.5,-0.028118
72.5,14.5,0.002806
77.5,14.5,0.045321
82.5,14.5,0.032098
87.5,14.5,0.127976
-87.5,15.5,-0.126969
-82.5,15.5,-0.007761
-77.5,15.5,0.010181
-72.5,15.5,-0.042038
-67.5,15.5,0.000333
-62.5,15.5,-0.042246
-57.5,15.5,0.009096
-52.5,15.5,-0.006657
-47.5,15.5,-0.023642
-42.5,15.5,-0.023865
-37.5,15.5,-0.011276
-32.5,15.5,-0.018783
-27.5,15.5,-0.018361
-22.5,15.5,-0.016068
-17.5,15.5,-0.014082
-12.5,15.5,-0.015273
-7.5,15.5,0.002933
-2.5,15.5,0.008267
2.5,15.5,0.017447
7.5,15.5,0.023125
12.5,15.5,0.035916
17.5,15.5,0.026301
22.5,15.5,0.030275
27.5,15.5,0.01698
32.5,15.5,0.007739
37.5,15.5,0.019267
42.5,15.5,0.002627
47.5,15.5,0.010042
52.5,15.5,0.004407
57.5,15.5,0.007228
62.5,15.5,0.011886
67.5,15.5,-0.040222
72.5,15.5,0.012804
77.5,15.5,0.013969
82.5,15.5,0.015741
87.5,15.5,0.001334
-87.5,16.5,-0.045125
-82.5,16.5,0.022754
-77.5,16.5,0.068591
-72.5,16.5,-0.057278
-67.5,16.5,-0.044623
-62.5,16.5,-0.039325
-57.5,16.5,0.000841
-52.5,16.5,-0.004439
-47.5,16.5,-0.018834
-42.5,16.5,-0.011981
-37.5,16.5,-0.015116
-32.5,16.5,-0.01322
-27.5,16.5,-0.014586
-22.5,16.5,-0.021983
-17.5,16.5,-0.013231
-12.5,16.5,0.000478
-7.5,16.5,-0.00538
-2.5,16.5,0.008961
2.5,16.5,0.010518
7.5,16.5,0.031678
12.5,16.5,0.029995
17.5,16.5,0.028576
22.5,16.5,0.019937
27.5,16.5,0.02235
32.5,16.5,0.013733
37.5,16.5,0.022117
42.5,16.5,0.009936
47.5,16.5,0.010335
52.5,16.5,0.030823
57.5,16.5,0.028328
62.5,16.5,-0.054737
67.5,16.5,-0.051284
72.5,16.5,-0.008591
77.5,16.5,-0.026337
82.5,16.5,-0.013573
87.5,16.5,-0.02041
-87.5,17.5,0.045686
-82.5,17.5,-0.026056
-77.5,17.5,-0.033425
-72.5,17.5,0.007489
-67.5,17.5,-0.031433
-62.5,17.5,-0.019562
-57.5,17.5,-0.035859
-52.5,17.5,-0.051008
-47.5,17.5,-0.012709
-42.5,17.5,-0.015277
-37.5,17.5,-0.00384
-32.5,17.5,-0.01331
-27.5,17.5,-0.025927
-22.5,17.5,-0.026367
-17.5,17.5,-0.019716
-12.5,17.5,-0.004048
-7.5,17.5,0.002071
-2.5,17.5,0.008148
2.5,17.5,0.019775
7.5,17.5,0.030921
12.5,17.5,0.030421
17.5,17.5,0.035242
22.5,17.5,0.017608
27.5,17.5,0.012293
32.5,17.5,0.019172
37.5,17.5,0.015512
42.5,17.5,-0.008208
47.5,17.5,-0.003286
52.5,17.5,0.03457
57.5,17.5,0.000918
62.5,17.5,-0.009024
